"","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"1",-100.288090479353,30.2418287219572,182,264,89,603,78,22,40,208,79,193,79,147,43,6800,341,3,338,231,99
"2",-100.469947144763,27.4224771767778,222,300,134,429,83,13,57,175,49,118,52,142,44,6514,375,53,322,269,152
"3",-98.8992252120532,26.9081768323716,223,291,139,547,109,17,54,215,73,154,81,132,43,5938,365,64,301,266,156
"4",-100.563815033576,29.3770716075362,204,286,110,532,74,17,46,200,61,161,65,133,40,6851,354,29,325,246,119
"5",-98.2418405341823,26.2518434581524,231,292,155,571,104,14,52,217,77,166,91,119,43,5339,360,86,274,272,172
"6",-97.682671609703,28.7145494521969,213,286,129,792,118,32,36,262,128,216,138,128,42,6090,357,53,304,260,144
"7",-98.4015367094507,27.2333097734152,223,291,141,600,110,20,49,225,86,174,94,131,44,5816,363,67,296,265,158
"8",-97.8808121290416,30.3415693434554,196,282,103,819,112,42,32,274,155,184,158,124,38,6973,353,30,323,235,119
"9",-100.918756754791,25.6676603530236,182,232,124,266,47,7,54,120,29,103,35,134,53,4263,299,48,251,223,137
"10",-100.748398850174,25.9761584093787,203,262,133,245,59,5,69,115,23,86,30,130,47,5041,329,58,271,236,149
"11",-99.7455293832993,27.382952766049,231,306,144,452,97,12,63,189,45,127,51,134,42,6377,380,65,315,280,162
"12",-98.9226209975349,25.6264409585437,234,299,155,617,130,18,66,273,62,221,64,130,44,5686,371,78,293,275,173
"13",-99.4661139872707,24.4356993668302,225,281,159,860,169,15,71,355,60,327,60,141,50,4817,357,76,281,275,159
"14",-99.7425700912547,29.4188840360638,199,278,108,634,82,27,39,218,89,197,89,136,41,6669,350,24,326,249,125
"15",-97.2579239951648,28.5458309402437,214,284,133,900,135,36,37,313,141,258,153,118,41,5857,347,61,286,260,147
"16",-95.6768569316537,29.7595340722897,202,279,115,1119,128,65,20,322,212,300,243,111,38,6368,340,50,290,251,162
"17",-97.1806299648334,28.2383639748349,216,284,136,932,160,35,43,344,145,273,158,105,39,5744,338,69,269,261,181
"18",-98.9909976718499,28.4640801960061,215,293,125,573,85,21,46,219,76,159,81,143,44,6516,369,44,325,263,143
"19",-98.8901359681178,27.896185814497,220,296,131,556,95,22,48,211,76,158,78,141,43,6406,372,50,322,267,149
"20",-97.9467193792674,29.6630858538336,201,282,110,837,110,42,32,281,152,196,159,128,40,6687,355,35,320,238,126
"21",-99.6259679205629,25.7467846764847,231,299,151,642,141,17,68,296,58,214,59,133,44,5853,377,77,300,270,168
"22",-96.5951626732809,30.4351608343453,201,286,111,990,127,49,27,311,200,200,219,123,39,6797,358,43,315,238,286
"23",-100.651441214052,24.7025340850847,166,205,119,413,60,14,47,163,54,163,59,168,64,3415,295,33,262,205,129
"24",-97.5691597228989,28.1240450505042,217,286,136,846,143,31,43,309,132,248,139,115,40,5870,350,65,285,263,149
"25",-97.7027191519477,24.9496320487701,234,288,168,692,138,21,50,281,98,173,124,114,45,4779,348,98,250,270,209
"26",-100.744090063711,25.9886284144374,203,261,133,248,59,6,69,116,24,88,30,130,48,5023,327,57,270,235,148
"27",-99.3932408175231,29.7276728722192,180,258,90,749,96,35,34,249,114,220,114,135,42,6538,330,10,320,229,90
"28",-99.6276405218761,24.6025468772927,220,275,156,909,178,20,67,409,74,345,74,141,50,4696,351,74,277,252,156
"29",-98.2876127238404,26.2307168690736,232,293,155,562,103,13,54,215,74,162,89,120,43,5399,360,86,274,272,171
"30",-98.4118567558839,26.4457348724571,226,290,148,593,105,17,51,229,83,174,94,125,43,5517,362,77,285,267,165
"31",-97.6552631328753,28.7620510027823,214,287,129,794,118,33,36,261,130,212,140,129,42,6126,358,53,305,261,144
"32",-97.8666115657135,26.6864757162278,226,289,149,648,126,18,53,256,91,188,102,113,42,5442,350,82,268,267,164
"33",-100.991313093741,28.2481179286288,211,291,121,413,87,12,65,191,38,117,43,138,42,6610,365,42,323,256,129
"34",-99.5471957411558,25.2159479580877,228,293,153,725,156,16,68,332,55,259,55,139,46,5514,369,72,297,266,153
"35",-100.208729058224,23.7407215738458,175,206,133,440,66,11,60,189,43,176,45,167,66,2930,295,44,251,200,146
"36",-96.2414694442952,29.4825450785153,201,278,113,1050,127,59,24,311,199,268,219,124,40,6388,348,42,306,210,163
"37",-100.155005430901,27.9733743121721,222,302,133,483,91,15,56,196,56,135,58,138,42,6603,376,54,322,269,151
"38",-99.8428471408756,29.4524955132137,191,271,99,670,84,28,39,232,92,211,92,138,42,6699,343,15,328,241,99
"39",-99.4454137322312,26.4470831340806,230,303,146,536,90,16,53,205,63,187,65,127,42,6134,378,76,302,297,162
"40",-98.8826387906992,29.9786327313825,190,270,101,778,104,37,33,257,128,206,128,136,42,6614,344,21,323,228,101
"41",-98.2117545917153,27.4720414052392,222,291,142,635,117,22,50,242,92,183,99,129,44,5825,361,68,293,265,152
"42",-96.2185886845493,29.4961281366168,201,278,114,1050,127,59,24,312,199,267,219,124,40,6383,348,42,306,210,163
"43",-99.7039359960134,24.8502405097166,221,278,155,870,175,19,68,396,66,319,66,140,49,4865,356,75,281,255,155
"44",-98.4186340454431,25.6460022740201,232,292,157,629,115,16,54,252,78,213,90,124,44,5311,359,82,277,272,174
"45",-99.0508843227061,30.205041519165,180,261,91,749,99,34,35,248,115,210,115,138,42,6620,336,9,327,230,91
"46",-98.566365062592,29.0082637930632,210,287,120,695,97,28,38,235,106,188,112,134,42,6468,359,41,318,248,137
"47",-99.0002123176038,28.6510403494373,214,291,124,599,85,23,43,215,82,167,87,141,43,6465,367,42,325,262,142
"48",-97.5080964599486,29.7913880594988,198,280,107,901,120,42,32,303,166,206,171,128,39,6728,354,33,321,236,122
"49",-98.299348387956,24.7675795378897,233,290,161,686,146,18,64,292,72,242,83,130,47,5038,357,81,276,286,175
"50",-98.5476587044755,26.340832012514,231,295,152,583,100,17,50,224,83,176,95,126,43,5588,368,81,287,273,204
"51",-98.3393592136356,28.3082138652411,215,290,127,638,97,24,41,222,98,176,103,134,42,6321,364,48,316,263,145
"52",-99.9492361963793,26.6251558303666,230,303,145,479,109,11,68,201,47,162,52,132,42,6116,381,72,309,297,154
"53",-100.419931457674,30.1999180553469,183,265,90,588,75,20,41,207,74,188,75,147,43,6798,342,3,339,232,101
"54",-97.5297406603255,27.6871250929738,221,287,144,761,137,28,46,305,118,214,125,103,39,5574,342,79,263,265,157
"55",-100.111450951381,28.0829557601456,222,302,132,500,91,15,56,202,59,142,61,137,42,6614,377,54,323,269,151
"56",-99.0944362901857,23.2233415310616,239,278,185,879,171,21,72,408,68,398,69,129,55,3781,345,111,234,277,188
"57",-96.5788017509585,29.3903668036959,203,279,116,1029,128,58,25,314,198,259,210,123,40,6341,350,44,306,238,130
"58",-99.7882011714987,27.8806218242829,224,302,136,506,95,18,53,207,64,140,65,136,42,6491,377,60,317,272,154
"59",-100.759673526793,29.1220623466377,213,294,121,494,78,17,50,181,53,144,60,129,40,6784,362,43,319,254,128
"60",-97.8842255585329,28.2741922750948,216,288,133,733,114,28,40,258,115,204,122,124,41,6041,357,58,299,263,148
"61",-99.2413140944509,27.4104341868366,229,301,141,480,91,14,52,187,62,127,71,134,43,6259,375,64,311,275,160
"62",-97.4562141571142,28.6310225447803,214,283,133,876,124,35,35,290,137,259,148,124,42,5873,352,58,294,260,147
"63",-99.992360884692,28.0877014694714,223,302,134,508,89,17,53,202,63,144,64,137,42,6571,377,56,321,271,152
"64",-100.089666478492,30.4627400394438,182,268,87,594,80,23,39,203,79,186,81,152,43,7039,347,-1,348,232,97
"65",-99.0396125438764,23.9662977817854,241,293,177,789,166,19,72,333,60,259,60,137,51,4605,362,97,265,272,177
"66",-99.1424780044913,28.5185416619248,215,292,125,574,85,22,46,219,75,161,80,138,43,6465,367,47,320,262,144
"67",-99.9581476166653,27.6258066317451,225,302,136,470,88,15,55,192,56,130,58,136,42,6466,376,58,318,272,155
"68",-100.157658435511,29.9565893332641,180,260,90,640,82,23,39,221,85,206,86,141,43,6605,333,6,327,229,101
"69",-99.1353920556078,25.1271962620665,233,297,156,680,147,17,70,305,56,228,56,137,45,5548,372,73,299,271,156
"70",-98.8343005594891,25.0752388058184,236,299,159,670,145,19,66,309,64,212,64,135,45,5522,371,75,296,276,159
"71",-96.3698053303356,28.843012984299,209,282,128,1092,155,55,30,348,192,296,211,104,38,5992,336,65,271,256,172
"72",-97.7345389537489,25.4204951238207,233,289,163,713,142,19,53,282,89,214,110,113,44,5016,349,94,255,271,176
"73",-98.3939459124669,25.6557615781004,233,292,158,625,113,15,53,249,78,211,91,124,45,5295,359,84,275,273,175
"74",-98.4290282624804,29.0294070239599,210,288,120,688,94,28,37,228,111,180,117,132,41,6519,360,42,318,248,137
"75",-100.546496895614,24.300325208161,182,222,135,311,44,7,53,124,36,124,39,173,63,3431,313,42,271,222,147
"76",-98.5389770117786,28.2311324155057,217,292,128,604,95,23,43,215,90,170,93,138,42,6398,368,47,321,265,145
"77",-99.0984017946761,28.4068540408146,217,295,127,562,87,21,47,221,73,158,77,140,43,6502,370,48,322,264,146
"78",-97.666909874488,26.0770452585095,231,288,162,669,136,21,53,274,93,189,105,102,41,4934,343,100,243,269,175
"79",-99.2740242611764,24.2783719769668,232,286,166,673,122,13,72,289,52,235,55,140,50,4739,359,83,276,266,183
"80",-98.0861734879757,27.1311595179922,226,292,147,630,113,19,49,244,89,186,101,123,43,5661,360,77,283,268,162
"81",-98.6324416006011,25.1325015934114,237,298,161,633,132,18,65,288,61,218,63,132,45,5408,366,78,288,277,179
"82",-97.7388622651991,26.1962567049398,230,288,160,666,129,22,50,263,96,191,107,105,42,5011,345,96,249,268,173
"83",-98.1896641957843,27.0358562748992,225,291,147,620,112,19,50,237,87,183,98,125,43,5642,360,75,285,266,162
"84",-97.9458169573485,24.1387353847606,238,287,178,740,151,14,58,313,75,248,115,121,49,4351,348,104,244,283,216
"85",-100.439633559621,27.6466815656526,221,300,132,426,84,13,58,172,48,111,50,141,43,6602,376,51,325,268,150
"86",-96.8526925395063,28.8797679534623,211,285,128,973,135,49,33,307,165,260,173,112,39,6112,345,60,285,259,142
"87",-100.180776404243,30.4940517587679,182,268,87,587,79,22,41,203,77,184,78,152,43,7016,348,-1,349,231,97
"88",-98.9691296168803,27.72439597608,221,295,133,536,94,20,49,203,74,150,78,139,43,6322,371,54,317,267,151
"89",-99.4189050264655,29.7233279436677,185,264,94,722,94,33,35,239,109,212,109,135,41,6596,335,13,322,233,94
"90",-99.0870403338582,25.6530341526402,233,300,153,607,134,17,69,275,57,214,58,131,44,5784,373,76,297,273,160
"91",-98.4883734404307,26.2917528854815,232,296,153,576,98,16,49,219,80,175,93,126,44,5581,367,82,285,274,205
"92",-101.160969212675,29.9174512107521,197,282,101,445,79,12,50,181,47,136,51,142,42,7032,351,14,337,248,111
"93",-101.089728582397,29.1896154304938,214,295,122,440,88,11,59,184,38,133,47,131,41,6745,362,44,318,263,130
"94",-99.4689037953206,29.5518774650184,194,273,104,677,89,31,36,224,104,200,104,132,41,6594,343,24,319,234,121
"95",-101.06302620657,24.8788526665776,193,250,127,427,72,10,59,192,41,188,48,176,57,4873,348,41,307,241,140
"96",-100.356641348073,29.9712144924346,184,264,93,609,78,21,41,211,78,198,78,142,43,6632,339,9,330,233,104
"97",-100.254616023582,23.8753305817584,157,186,119,446,67,12,55,182,50,175,51,164,66,2675,276,31,245,178,129
"98",-100.25253183468,28.842600896164,213,293,121,532,77,21,46,190,68,152,70,133,41,6715,364,42,322,254,130
"99",-97.7320651302515,28.8874354169122,212,286,126,774,116,33,37,253,132,191,142,130,41,6217,358,48,310,260,141
"100",-99.2971569337546,27.7805610403793,225,300,137,495,86,19,47,188,68,135,72,137,43,6367,375,60,315,271,155
"101",-98.6125749359639,27.6194117977634,217,288,132,596,108,22,50,220,85,171,88,136,44,6085,362,54,308,262,144
"102",-99.8816122199514,28.3322041942437,220,298,130,544,80,20,47,203,72,156,74,135,42,6533,373,54,319,267,150
"103",-97.8382888729226,23.6827021938439,239,284,182,1106,253,14,76,550,77,458,105,111,49,4059,340,114,226,281,217
"104",-100.112466573969,27.2104646572144,222,299,134,429,81,11,59,180,43,146,48,138,43,6463,374,57,317,269,153
"105",-99.1560330441061,28.0308938607489,222,300,132,535,88,22,46,204,73,149,76,141,43,6518,376,53,323,269,150
"106",-98.1684655983228,24.9967523624283,233,289,162,630,124,19,53,255,84,189,98,126,46,5040,355,84,271,270,177
"107",-99.5850857411148,24.0249824510838,171,203,129,999,256,15,86,508,61,346,61,151,63,2952,280,44,236,187,129
"108",-100.770644853811,28.6812170517552,218,299,126,446,79,15,54,165,50,118,52,132,41,6759,370,49,321,261,134
"109",-97.582097321066,27.7900759461199,221,287,141,785,138,29,45,305,122,227,129,108,39,5698,346,74,272,266,155
"110",-101.046706200345,26.2087506297537,207,271,133,266,55,5,61,124,24,101,31,138,48,5399,340,53,287,263,149
"111",-100.594437306073,30.4221419307048,184,269,88,561,79,19,42,206,70,174,71,154,43,7008,349,-3,352,233,99
"112",-100.600064883196,27.8474528626037,217,299,127,430,89,12,63,175,43,117,46,140,42,6736,375,46,329,263,145
"113",-99.8766083603736,25.4121809141611,225,291,150,808,174,18,67,382,67,280,67,136,45,5565,367,71,296,264,150
"114",-98.4447760279728,29.0382544682793,209,287,120,691,95,29,37,229,112,181,117,132,41,6485,359,42,317,247,136
"115",-99.9601728874014,25.9011988811246,221,284,147,677,151,20,68,317,64,238,65,124,44,5364,357,79,278,257,163
"116",-100.092672479544,26.5991084006604,229,300,145,477,108,11,69,204,44,163,44,132,43,6026,377,71,306,295,163
"117",-98.2068696536384,29.2774322281605,203,282,116,725,96,35,32,232,133,173,137,127,40,6487,352,41,311,240,131
"118",-98.2518833471604,25.1956931666975,233,290,160,623,120,18,53,252,82,190,97,126,45,5152,356,82,274,271,175
"119",-98.3221743019251,28.7384765521407,213,289,123,669,95,25,38,221,105,181,112,135,42,6447,363,42,321,250,140
"120",-97.1806019372933,30.4544994991125,196,280,100,888,119,45,31,288,176,188,178,125,38,6967,353,26,327,234,117
"121",-98.323010188135,26.662285752245,227,291,148,595,108,17,52,229,82,174,93,125,43,5594,363,76,287,269,164
"122",-100.949679169433,27.9445731329634,215,303,121,426,86,11,63,182,41,126,45,142,41,7084,378,37,341,262,140
"123",-97.9672369320662,26.2352731128328,230,290,155,619,116,17,51,235,86,183,98,113,42,5243,353,89,264,270,170
"124",-100.314315957203,25.2476475274479,127,151,94,583,96,17,57,260,62,209,67,136,64,2271,229,18,211,146,99
"125",-97.8653278061412,29.1809079712651,207,284,119,781,109,36,33,252,140,189,146,131,41,6407,357,41,316,244,135
"126",-97.6607273486022,29.4372203100731,203,281,113,852,110,44,33,288,156,203,160,130,40,6499,356,38,318,239,130
"127",-96.4062758671344,28.8224343598763,210,283,128,1089,156,54,31,348,189,296,209,103,38,6015,336,65,271,257,171
"128",-100.12658116464,26.3289179887469,219,284,141,709,177,18,72,335,67,236,67,126,44,5556,357,71,286,259,159
"129",-98.8577262131612,27.9009696459327,220,295,130,564,96,22,47,213,78,160,80,141,44,6395,370,50,320,266,148
"130",-100.503585226216,28.7366111049578,217,299,125,494,80,19,51,182,60,135,61,131,40,6802,369,48,321,260,133
"131",-100.204948115312,26.9894157853063,227,303,139,438,90,11,62,186,44,149,47,137,43,6384,378,62,316,272,158
"132",-98.6086069514674,25.7199550866137,232,294,155,629,117,17,57,256,73,222,82,126,44,5445,362,81,281,273,173
"133",-97.0767116188041,29.9426252018042,198,280,107,958,126,51,29,303,187,212,196,127,39,6705,354,32,322,235,123
"134",-100.348350811611,24.163524306448,182,217,137,331,49,9,50,129,44,124,48,169,65,3190,305,45,260,211,149
"135",-98.1286322639344,28.3263131472409,218,292,131,665,99,24,40,234,104,175,112,131,42,6244,364,54,310,266,147
"136",-98.3517243761933,27.962838987917,215,286,130,653,111,25,46,240,96,182,98,133,43,6097,359,52,307,261,146
"137",-96.9657307478031,29.5771705465515,201,280,113,977,127,56,27,317,189,232,200,122,39,6503,352,42,310,236,128
"138",-97.8069743303315,26.8884833127601,225,288,149,650,124,18,51,256,93,187,105,109,41,5436,347,82,265,266,163
"139",-98.9950180768426,30.1654192062854,182,263,92,762,101,35,34,249,118,212,118,137,42,6622,337,13,324,221,92
"140",-99.3926312098516,24.3115883349374,228,282,164,783,160,15,73,339,49,286,49,141,51,4671,355,80,275,259,164
"141",-96.6961524950922,30.4527087906116,199,283,109,981,128,48,28,312,199,199,214,122,38,6796,355,40,315,236,283
"142",-101.087901920378,27.7714298374113,220,312,123,436,84,10,61,181,41,137,45,145,41,7376,387,37,350,268,143
"143",-98.2048291491508,30.3653979784306,190,276,97,803,114,42,34,271,143,187,143,131,39,6997,349,18,331,230,97
"144",-99.8327494741121,24.2284835601942,171,201,131,696,152,16,73,324,56,278,56,156,65,2799,282,43,239,196,134
"145",-99.5827796850956,26.4598157569455,229,300,145,553,95,15,55,218,64,203,65,127,42,6064,377,77,300,295,162
"146",-100.548763392999,29.6073695294178,198,279,104,561,75,18,45,199,65,178,66,137,41,6819,349,20,329,239,114
"147",-98.3829075144968,30.1452241544838,187,271,96,850,114,45,32,280,153,203,153,133,40,6812,345,19,326,226,96
"148",-100.202681018614,24.553038497942,169,199,132,385,52,14,45,145,48,139,53,161,66,2672,283,42,241,193,140
"149",-100.5568730959,26.9624201817816,229,305,141,450,98,9,65,201,45,156,49,141,44,6390,381,63,318,298,159
"150",-98.748707619672,29.9257934839128,189,270,100,814,107,40,32,268,140,209,140,135,41,6630,344,22,322,227,100
"151",-101.182213847753,25.2628088180309,194,257,122,468,79,7,64,219,37,212,45,166,53,5379,352,42,310,248,136
"152",-96.6547877075131,30.4361798721974,201,286,111,982,127,48,27,311,199,199,216,123,39,6819,357,42,315,238,286
"153",-95.9356860381357,28.8330104655552,210,281,128,1167,171,56,30,372,194,321,234,101,37,5962,333,65,268,221,171
"154",-99.8914131308862,24.8940689092805,163,188,132,679,134,19,65,303,62,232,66,148,68,2213,265,48,217,174,138
"155",-100.899133919608,28.3610353821923,217,299,126,429,72,14,55,168,45,132,47,138,42,6691,373,47,326,264,135
"156",-98.517514802209,23.8819917024145,234,281,176,761,152,13,62,330,71,278,102,132,53,4200,346,99,247,277,214
"157",-97.6552813378291,29.4679927163056,203,282,113,852,111,43,33,290,156,203,160,131,40,6589,357,37,320,240,129
"158",-100.793347528292,26.1674305858687,175,225,115,348,76,8,68,173,31,139,36,129,51,4356,290,41,249,218,128
"159",-97.9781713125981,27.919188646307,220,290,138,712,123,27,45,268,108,199,112,124,42,5913,359,65,294,266,153
"160",-97.1270263014688,28.31465616059,215,284,135,939,157,36,41,340,148,273,161,105,38,5765,338,68,270,261,149
"161",-100.654706429138,27.0586574068914,224,300,137,443,94,10,63,195,47,149,51,142,44,6364,376,58,318,269,155
"162",-98.8617172091249,26.1265563429031,236,302,155,557,105,16,54,218,64,183,75,126,43,5776,373,83,290,279,174
"163",-97.7814863566601,23.9718048991297,239,285,181,896,187,14,63,409,78,333,121,114,49,4179,343,111,232,282,217
"164",-99.101433646255,26.7168443868926,228,298,142,519,105,16,55,208,65,152,73,130,42,6082,371,68,303,272,160
"165",-100.228665192399,25.433498528867,166,199,126,673,159,11,78,344,47,277,51,138,63,2881,268,49,219,193,134
"166",-98.2425554713728,28.9868337748548,209,287,119,699,97,28,35,227,116,181,124,133,41,6515,359,39,320,247,135
"167",-99.1100390140261,24.3917070923201,233,289,165,634,124,14,72,270,52,211,57,140,49,4867,364,80,284,283,180
"168",-96.7151076213186,30.3996782554528,200,284,109,980,128,47,28,312,200,200,214,123,38,6817,356,39,317,236,284
"169",-100.563120278136,29.9615877460093,187,267,95,577,78,19,43,204,70,187,70,143,43,6687,341,9,332,236,106
"170",-98.712281460034,24.9783328916411,234,295,157,681,143,20,63,310,70,219,73,135,46,5426,366,73,293,273,174
"171",-98.008190609905,30.1769462295195,190,274,98,861,116,47,32,286,160,200,161,125,38,6857,345,24,321,228,113
"172",-97.8082082028046,29.4552423330225,202,281,113,831,107,43,32,278,152,196,157,130,41,6530,355,38,317,239,129
"173",-99.6205307593274,23.9240166421376,150,178,114,884,204,18,77,415,67,319,67,149,65,2502,258,32,226,161,114
"174",-98.0907892319285,29.3900166624503,206,285,117,743,96,37,32,243,137,173,142,127,40,6532,357,42,315,242,133
"175",-96.1234530334056,28.8613333217715,209,281,126,1129,161,57,29,359,196,306,225,104,38,6013,335,64,271,256,170
"176",-100.286458070691,24.2347995363712,179,214,137,338,49,9,50,132,44,127,48,168,65,3072,301,45,256,207,149
"177",-100.896718770013,28.5329719999658,218,299,126,424,70,12,50,157,46,121,46,134,41,6724,371,48,323,261,126
"178",-96.8250561316926,30.1028613886714,199,281,108,973,128,49,29,303,200,205,207,125,39,6682,354,36,318,236,124
"179",-97.840670105964,25.0093331986174,235,290,166,654,128,21,49,269,99,156,118,118,45,4912,352,94,258,272,210
"180",-97.4687755885341,29.4529199358519,203,283,112,863,113,44,33,297,159,210,163,130,40,6628,358,37,321,240,129
"181",-97.1144312871883,28.1789787891243,216,283,136,921,160,34,43,341,142,265,161,98,37,5735,333,72,261,262,181
"182",-99.8776253991541,29.8158139760371,178,259,86,696,86,28,37,242,95,220,95,142,42,6746,332,-1,333,227,86
"183",-100.626636042938,28.1938373576175,219,300,128,440,87,11,63,179,48,127,52,139,42,6734,376,48,328,266,146
"184",-96.1643622059455,29.1013356325484,205,278,122,1093,142,58,26,343,198,295,221,115,39,6096,342,54,288,254,166
"185",-99.6557219853487,29.8179804357508,180,262,87,709,89,30,36,244,100,218,100,141,42,6801,334,1,333,229,87
"186",-100.796185904686,29.5180203865058,205,288,112,474,73,13,51,176,47,135,53,132,40,6882,356,31,325,247,120
"187",-98.0000677207921,28.034877973864,218,289,135,709,118,26,44,261,107,197,113,126,42,5983,359,61,298,264,151
"188",-98.2914580841787,27.721105317773,219,289,136,645,119,24,50,242,93,181,97,131,43,5971,361,60,301,264,147
"189",-98.5721191867678,28.5992282479132,214,290,124,625,90,23,40,214,93,174,98,139,42,6466,366,42,324,263,142
"190",-97.327111411257,28.6288355387004,214,284,133,888,125,36,35,299,140,258,151,122,42,5851,350,60,290,260,148
"191",-98.3530603840762,24.2923650777125,234,286,171,627,119,14,60,249,66,207,89,132,50,4579,353,91,262,282,211
"192",-100.836272841728,27.7704731316271,221,308,127,418,84,12,61,170,43,115,46,143,42,7071,383,43,340,269,146
"193",-100.859339912938,27.1969972265059,224,302,136,417,83,10,58,176,45,136,49,146,45,6482,377,53,324,269,154
"194",-98.7114322394529,30.2277684999161,187,269,96,785,111,37,36,268,125,207,125,137,41,6735,345,17,328,226,96
"195",-96.9208206779616,28.2996989670768,215,283,135,956,156,37,39,334,150,271,174,96,36,5773,331,70,261,261,179
"196",-100.148492436853,23.4532059531097,186,219,140,467,71,10,63,202,39,195,45,164,63,3197,309,52,257,218,153
"197",-98.2256634192918,29.8500518148406,194,277,103,866,112,49,30,281,155,214,157,126,39,6751,348,28,320,232,118
"198",-98.7691166234821,29.4882589522433,201,280,113,732,97,38,32,241,124,191,127,128,41,6524,350,38,312,239,122
"199",-99.9189603505773,27.6301956992801,225,302,137,473,91,15,56,196,56,131,58,136,42,6478,377,59,318,273,156
"200",-100.470891757487,26.4310513596368,209,271,132,442,111,12,73,215,45,155,47,130,45,5369,341,58,283,267,151
"201",-100.804296971725,25.452509603793,178,224,124,396,79,7,71,209,30,178,38,138,56,3961,299,53,246,216,135
"202",-100.282157917533,25.8541174159629,222,281,152,568,132,18,69,279,56,192,56,121,45,5068,350,82,268,257,152
"203",-96.0302809491633,29.1425241125036,205,278,120,1113,148,58,27,349,195,304,222,115,39,6118,340,52,288,252,166
"204",-97.6723713325761,27.7268875052665,221,289,140,768,135,27,45,295,118,228,125,112,40,5770,349,72,277,266,155
"205",-98.3912824018676,25.5951314007915,233,292,158,623,114,15,54,251,77,210,90,124,45,5312,359,84,275,273,175
"206",-97.6515463524474,28.2991147446448,216,288,134,801,128,31,40,279,125,236,133,119,40,6003,354,62,292,264,148
"207",-100.991808136607,26.0539017380866,180,231,119,309,59,7,64,152,28,128,34,132,51,4425,297,43,254,223,132
"208",-95.986199876774,29.5441433991207,201,278,113,1074,129,60,23,319,198,283,224,120,40,6377,344,44,300,211,162
