"decimalLongitude","decimalLatitude","N"
-91.75182,16.90079,2
-96.766928,18.684025,29
-111.683525,29.39834,68
-88.748976,18.087402,20
-96.933592,18.884014,1
-88.578414,20.668935,270
-95.200224,17.984062,19
-97.100265,18.850686,57
-88.96656,20.638555,49
-96.928593,19.545651,36
-99.171111,19.342778,23
-99.196389,19.313333,49
-99.123255,19.319195,4
-99.803208,20.685004,1
-99.172778,19.318333,25
-99.168333,19.341667,307
-99.1725,19.353333,78
-99.156111,19.303611,6
-99.174444,19.341389,52
-99.193357,19.294821,1
-99.098333,19.290556,27
-99.278056,19.278611,6
-99.158056,19.346111,15
-99.306389,19.315278,6
-99.198056,19.291667,50
-99.181188,19.423626,1
-102.981988,21.14337,2
-99.127222,19.351111,7
-99.193333,19.319444,17
-100.943526,21.147015,1
-99.802468,20.685228,1
-99.19924,19.311983,1
-99.1875,19.340833,3
-99.269897,19.302404,1
-98.816743,19.501896,1
-98.2062,19.041297,1
-99.214742,19.275359,1
-116.633477,32.563959,4
-99.827086,20.099174,17
-99.1975,19.3075,6
-102.386162,21.040687,2
-99.121667,19.318611,8
-99.214885,19.275502,1
-99.096894,19.293103,1
-99.156111,19.304444,7
-99.29,19.264167,3
-99.214701,19.275327,2
-99.105278,19.303611,6
-99.159712,19.32224,1
-99.198212,19.291682,5
-99.831219,20.12195,1
-99.804427,20.687044,1
-99.192317,19.29294,1
-99.192424,19.292761,1
-99.180955,19.570132,1
-99.112886,19.24269,1
-99.112894,19.242737,2
-109.942632,23.686268,1
-99.214835,19.275118,1
-99.2148,19.275112,2
-100.928414,25.288454,1
-99.214763,19.275104,1
-103.526402,20.71084,1
-92.674828,16.742433,1
-99.214785,19.275116,1
-99.17307,19.317381,7
-96.759263,17.148688,912
-104.973247,21.516153,25
-101.157073,19.680324,287
-96.604671,17.173923,5
-99.19384,19.295448,1209
-99.286439,19.599619,6
-99.17309,19.319709,26
-92.614421,16.74287,987
-99.214697,19.274942,756
-104.501438,23.97245,543
-103.184152,20.289088,45
-103.206744,22.35792,38
-99.720903,20.82497,10
-96.516716,17.035572,10
-99.198904,19.31333,796
-96.750471,17.143753,10416
-104.27139,19.585932,75
-99.096336,19.291977,1780
-116.677498,32.548654,2520
-99.201093,19.291297,64
-99.111228,19.28757,310
-99.193485,19.318682,1352
-99.192102,19.31608,326
-99.193763,19.319226,219
-96.765953,17.046579,3
-99.191036,19.299118,1
-98.0458,19.22657,180
-104.940993,23.9216,43
-101.152218,19.682098,36
-104.680115,21.28559,31
-92.632829,16.754372,231
-101.329565,21.261061,437
-103.233848,20.288847,36
-99.283914,19.366276,20
-102.152028,21.568815,2064
-97.65938,19.43672,10
-99.266843,19.204587,104
-117.053747,32.331238,47
-97.249238,19.730109,5
-99.174678,19.341471,65
-98.818256,19.501642,1
-96.768286,17.044062,1281
-91.673312,16.078104,10
-99.167919,19.516758,122
-96.450096,16.958276,956
-99.245,19.389722,273
-105.11811,26.286959,73
-99.193167,19.316904,33
-99.172811,19.317472,68
-99.187918,19.525333,25
-101.687077,21.1792,227
-96.732044,17.07381,20
-92.604167,16.732838,14
-102.156261,21.550541,1323
-92.647705,16.729201,205
-92.620895,16.740911,15
-103.125572,20.347583,26
-116.90496,32.202071,154
-99.199805,19.313108,338
-100.727398,20.917831,2132
-103.213441,22.319232,1
-107.112215,29.259167,87
-97.054863,19.590558,5
-103.60589,19.6685,11
-103.122505,20.340706,21
-99.18567,19.328639,44
-99.112515,19.239563,31
-99.182446,19.322038,28
-103.212213,20.420653,22
-96.760637,17.196862,1
-100.545641,25.450609,37
-97.688134,19.103202,30
-100.727967,24.896033,370
-109.931002,23.670154,14
-103.283007,20.369643,7
-99.189488,19.394826,794
-97.220441,19.549854,4
-98.042014,19.277889,14
-103.826809,20.644913,68
-99.198083,19.249944,511
-110.036724,31.042773,3
-109.927998,23.614171,44
-100.721583,24.948038,16
-106.47206,28.80393,21
-104.500596,24.090486,899
-96.498033,17.090981,174
-92.456303,16.65823,178
-110.053247,31.067029,11
-102.514635,22.398392,1
-99.900513,21.119093,24
-100.556426,25.452904,4
-99.098165,19.195627,18
-99.276216,19.296076,29
-100.043183,19.039309,26
-103.268266,20.668926,2
-92.455873,16.655846,45
-99.062476,19.27207,1579
-109.997581,23.687764,1
-99.24382,19.248884,28
-109.986815,23.70344,304
-103.709221,19.461806,246
-99.316057,19.053227,4
-99.731083,21.045894,12
-104.620802,23.981555,273
-99.196324,19.313192,184
-92.687187,16.737983,238
-99.198035,19.109982,264
-97.853894,17.289758,246
-104.628256,23.992031,22
-99.213694,19.019835,10
-103.302244,21.389067,4
-101.626453,21.357184,1
-96.722259,17.060067,339
-102.258618,21.866915,102
-92.699555,16.723107,150
-108.151404,29.309229,1
-99.121256,19.214488,2
-97.15757,19.49691,91
-102.135352,21.597258,1663
-100.724233,20.917892,302
-99.102859,19.297497,4
-109.926984,23.603577,6
-99.185901,19.420307,271
-97.187462,19.520317,11
-115.911426,32.020943,25
-99.181181,19.301064,287
-99.085795,19.419285,3
-99.172608,19.315738,40
-99.183197,19.315659,24
-100.726969,20.918288,145
-99.197311,19.106766,15
-99.172015,19.353939,388
-96.515021,17.064169,60
-103.268115,19.977221,14
-96.517347,17.063512,386
-92.643607,16.733552,184
-107.836073,27.511669,5
-99.171159,19.342949,17
-96.512932,17.073742,3
-101.243509,19.631432,39
-105.869644,23.589849,1152
-92.452736,16.657183,18
-99.076552,19.458856,91
-99.09668,19.309928,435
-100.727355,20.917551,6
-99.171127,19.34303,2
-96.712368,17.243653,291
-104.736206,20.627272,4
-116.654978,31.874364,25
-92.680539,16.708569,14
-105.0169,23.933058,126
-99.114506,19.24328,54
-99.171111,19.343056,4
-99.891225,20.518097,275
-92.584577,16.670174,23
-102.373953,21.75392,126
-116.609487,31.897373,149
-99.18766,19.421167,8
-99.186111,19.346944,4
-100.22201,20.26595,81
-115.942326,32.023505,3
-99.274204,19.285034,43
-92.633377,16.755034,8
-101.461101,21.987065,33
-99.253964,19.298361,84
-99.074171,19.460078,17
-108.931696,28.640996,24
-98.868273,19.490445,17
-116.773928,32.036793,10
-102.372708,21.755514,9
-100.794543,20.946791,163
-104.686575,21.275408,137
-99.170833,19.342778,2
-96.763169,17.052115,230
-92.680503,16.718628,53
-104.043671,20.713229,245
-99.194827,19.111718,399
-96.607108,17.177112,599
-102.318399,21.835368,7
-104.932472,24.087528,223
-99.171389,19.353611,46
-105.665646,23.692005,54
-99.164793,19.342977,5
-96.504761,17.303577,2
-99.19311,19.316773,230
-98.855216,19.471287,59
-99.178889,19.341944,20
-99.104104,20.08034,12
-101.211654,19.651177,223
-116.879122,32.093601,419
-100.743084,20.908641,8
-96.762718,17.159828,1367
-98.87185,19.478924,8
-99.178745,19.37832,32
-99.362251,19.173897,8
-100.133715,21.273939,8
-96.517151,17.361193,2
-100.747216,20.905664,5
-99.209483,18.918426,18
-99.192222,19.296389,2
-99.168889,19.348333,1
-99.1825,19.348056,5
-101.002293,22.126832,60
-103.506187,19.531384,117
-99.182017,19.28356,12
-99.183728,19.296481,8
-99.186111,19.3425,3
-116.873277,32.057618,6
-92.68119,16.759817,703
-102.315448,21.911814,19
-96.296539,16.930024,7
-99.143758,19.254757,5
-99.093418,19.301099,299
-115.769783,31.235267,5
-116.510944,32.116546,5
-99.196329,19.295833,83
-102.350827,22.179298,14
